subvectors,code_size,learning_rate,l2_reg,ar,bn,en,es,fa,fi,fr,hi,id,ja,ko,ru,sw,te,th,zh,avg_ndcg
256,64,3e-5,0,0.7179,0.7067,0.685,0.6231,0.6008,0.7688,0.5391,0.5301,0.6099,0.6472,0.6731,0.6333,0.635,0.7527,0.7287,0.574,0.6516
256,64,3e-5,1e-8,0.7183,0.7078,0.6838,0.6233,0.6013,0.7692,0.5384,0.5298,0.6096,0.6465,0.677,0.6332,0.6338,0.7533,0.7279,0.5711,0.6515
256,64,3e-5,1e-7,0.7185,0.7069,0.6861,0.6236,0.602,0.7689,0.543,0.5322,0.6108,0.6467,0.6748,0.6329,0.6325,0.7537,0.7305,0.5722,0.6522
256,64,3e-5,3e-7,0.7193,0.7073,0.6849,0.6257,0.6021,0.7689,0.5418,0.5326,0.6101,0.6465,0.6743,0.634,0.6341,0.7543,0.7315,0.5685,0.6522
256,64,3e-5,7e-7,0.7182,0.7085,0.6842,0.6222,0.6021,0.768,0.538,0.5321,0.6108,0.6459,0.6741,0.6318,0.6316,0.7518,0.7304,0.5709,0.6513
256,64,3e-5,1e-6,0.7182,0.7073,0.6838,0.6217,0.6017,0.7679,0.5353,0.533,0.6088,0.645,0.67,0.6327,0.6302,0.7519,0.7301,0.571,0.6505
256,64,3e-5,3e-6,0.719,0.707,0.682,0.6207,0.6028,0.7704,0.5426,0.5369,0.6082,0.6435,0.6684,0.6315,0.6279,0.7531,0.7312,0.5724,0.6511
256,64,3e-5,7e-6,0.7195,0.7066,0.6809,0.6227,0.6039,0.7679,0.5384,0.5342,0.6079,0.6453,0.6644,0.6327,0.6288,0.7548,0.7314,0.5623,0.6501
256,64,7e-5,0,0.713,0.703,0.6811,0.6102,0.584,0.7655,0.5207,0.5145,0.6009,0.6419,0.6679,0.6309,0.6229,0.7515,0.7265,0.5528,0.643
256,64,7e-5,1e-8,0.7126,0.7042,0.6815,0.6087,0.5867,0.7655,0.5212,0.5149,0.6032,0.641,0.6702,0.6302,0.6242,0.755,0.7271,0.553,0.6437
256,64,7e-5,1e-7,0.7135,0.7015,0.68,0.6079,0.5847,0.7666,0.5204,0.5112,0.6035,0.6404,0.6691,0.6297,0.6242,0.7532,0.7283,0.5518,0.6429
256,64,7e-5,3e-7,0.7134,0.7045,0.681,0.6099,0.5857,0.7671,0.52,0.5158,0.6004,0.6402,0.6672,0.6305,0.6236,0.7533,0.7288,0.5539,0.6435
256,64,7e-5,7e-7,0.7123,0.7025,0.6782,0.6054,0.5836,0.7662,0.5195,0.5168,0.5976,0.6408,0.6645,0.6293,0.6221,0.7536,0.7262,0.5508,0.6418
256,64,7e-5,1e-6,0.7139,0.7034,0.6814,0.6093,0.5861,0.7666,0.5228,0.5177,0.6015,0.6422,0.6664,0.6287,0.6204,0.7551,0.7294,0.5508,0.6435
256,64,7e-5,3e-6,0.7135,0.7059,0.6795,0.6044,0.5858,0.7646,0.5196,0.5201,0.601,0.6422,0.6695,0.6285,0.6219,0.75,0.7277,0.5453,0.6425
256,64,7e-5,7e-6,0.7124,0.7062,0.6771,0.6069,0.5866,0.7651,0.5214,0.5186,0.5979,0.641,0.6717,0.6258,0.6183,0.7514,0.7278,0.5437,0.642
256,64,1e-4,0,0.7063,0.7027,0.6735,0.5874,0.577,0.7618,0.4995,0.5006,0.5908,0.64,0.6681,0.6245,0.6101,0.7508,0.7258,0.5345,0.6346
256,64,1e-4,1e-8,0.7061,0.7014,0.6729,0.5864,0.5762,0.7617,0.5026,0.5035,0.5925,0.6392,0.6699,0.6241,0.6139,0.749,0.7276,0.5356,0.6351
256,64,1e-4,1e-7,0.7064,0.7046,0.6746,0.5867,0.5765,0.7619,0.501,0.5028,0.5903,0.6409,0.6693,0.6247,0.613,0.7497,0.7275,0.5372,0.6354
256,64,1e-4,3e-7,0.706,0.7025,0.6738,0.5865,0.576,0.7624,0.5024,0.5,0.5918,0.6405,0.6697,0.6236,0.6136,0.7507,0.7275,0.5339,0.635
256,64,1e-4,7e-7,0.7078,0.7026,0.6734,0.5878,0.5762,0.7616,0.5059,0.5009,0.5938,0.639,0.6726,0.6258,0.6157,0.7486,0.7245,0.5322,0.6355
256,64,1e-4,1e-6,0.7047,0.7021,0.6733,0.5879,0.575,0.7613,0.503,0.5023,0.5925,0.6401,0.6684,0.6239,0.6153,0.7508,0.7258,0.5334,0.635
256,64,1e-4,3e-6,0.7062,0.6985,0.6733,0.5891,0.5777,0.761,0.5032,0.5059,0.5902,0.6401,0.667,0.6251,0.6159,0.7493,0.727,0.5344,0.6352
256,64,1e-4,7e-6,0.7057,0.7011,0.6741,0.5867,0.5712,0.7597,0.5031,0.4963,0.5892,0.6398,0.6666,0.6199,0.6124,0.7445,0.7238,0.5305,0.6328
256,64,3e-4,0,0.4859,0.538,0.4481,0.272,0.3112,0.5502,0.1861,0.2084,0.3068,0.4334,0.4833,0.4344,0.4163,0.5945,0.5471,0.251,0.4042
256,64,3e-4,1e-8,0.4834,0.5338,0.4513,0.2691,0.3121,0.5483,0.1868,0.2077,0.3045,0.4323,0.4765,0.4341,0.4164,0.5916,0.5424,0.2534,0.4027
256,64,3e-4,1e-7,0.4862,0.5347,0.4486,0.2705,0.3098,0.5516,0.1849,0.2071,0.3062,0.4328,0.4796,0.4343,0.4147,0.592,0.5446,0.2497,0.403
256,64,3e-4,3e-7,0.4809,0.5323,0.4457,0.2655,0.308,0.5474,0.1829,0.207,0.3029,0.4317,0.4751,0.4347,0.4131,0.5898,0.5406,0.2504,0.4005
256,64,3e-4,7e-7,0.4855,0.5373,0.4493,0.2727,0.311,0.5523,0.1847,0.2086,0.3033,0.4321,0.4808,0.4359,0.4169,0.5924,0.5427,0.2519,0.4036
256,64,3e-4,1e-6,0.499,0.545,0.4602,0.2815,0.3178,0.5625,0.1901,0.2151,0.3168,0.4435,0.4886,0.4452,0.4198,0.6029,0.5541,0.2606,0.4127
256,64,3e-4,3e-6,0.4807,0.5296,0.4446,0.2736,0.3093,0.5486,0.1821,0.2081,0.3009,0.4289,0.4754,0.4302,0.411,0.5927,0.545,0.2454,0.4004
256,64,3e-4,7e-6,0.4603,0.5084,0.4248,0.2587,0.2873,0.5299,0.1727,0.1953,0.2888,0.4126,0.4605,0.4206,0.4073,0.5797,0.5252,0.2375,0.3856
256,64,7e-4,0,0.3277,0.4623,0.2093,0.132,0.2047,0.4046,0.0768,0.1054,0.1591,0.2547,0.3528,0.3452,0.2459,0.5243,0.394,0.1287,0.2705
256,64,7e-4,1e-8,0.3252,0.4587,0.2045,0.1288,0.2032,0.4003,0.0791,0.1048,0.1561,0.2454,0.345,0.3414,0.2403,0.5201,0.3868,0.1305,0.2669
256,64,7e-4,1e-7,0.329,0.4627,0.2072,0.1345,0.2034,0.4053,0.0806,0.1108,0.1581,0.2523,0.3504,0.3457,0.2438,0.5274,0.3967,0.135,0.2714
256,64,7e-4,3e-7,0.3291,0.4555,0.209,0.1309,0.2042,0.4028,0.0788,0.1093,0.1588,0.2535,0.3477,0.3398,0.2414,0.5211,0.3859,0.1336,0.2688
256,64,7e-4,7e-7,0.3265,0.4525,0.2036,0.1294,0.2054,0.3987,0.0756,0.1114,0.1558,0.2497,0.3436,0.3389,0.241,0.5176,0.3894,0.1323,0.267
256,64,7e-4,1e-6,0.328,0.4626,0.2047,0.1312,0.2014,0.4024,0.0751,0.1094,0.1592,0.2524,0.3455,0.345,0.2437,0.5249,0.3926,0.135,0.2696
256,64,7e-4,3e-6,0.3234,0.4491,0.1937,0.1294,0.1988,0.392,0.0717,0.1155,0.1536,0.2442,0.3328,0.3386,0.2381,0.5172,0.3893,0.1354,0.2639
256,64,7e-4,7e-6,0.3232,0.4548,0.1919,0.1294,0.1958,0.3961,0.0665,0.1161,0.15,0.2494,0.332,0.3302,0.2318,0.5306,0.3896,0.127,0.2634
